Site,Animal,Population,Death,Status
Dabob,528,H,4,1
Dabob,529,H,4,1
Dabob,530,H,4,1
Dabob,531,H,4,1
Dabob,532,H,4,1
Dabob,533,H,4,1
Dabob,534,H,4,1
Dabob,535,H,4,1
Dabob,536,H,4,1
Dabob,537,H,4,1
Dabob,538,H,4,1
Dabob,539,H,4,1
Dabob,540,H,4,1
Dabob,541,H,4,1
Dabob,542,H,4,1
Dabob,543,H,4,1
Dabob,544,H,4,1
Dabob,545,H,4,1
Dabob,546,H,4,1
Dabob,547,H,4,1
Dabob,548,H,4,1
Dabob,549,H,4,1
Dabob,550,H,4,1
Dabob,551,H,4,1
Dabob,552,H,4,1
Dabob,553,H,4,1
Dabob,554,H,4,1
Dabob,555,H,4,1
Dabob,556,H,4,1
Dabob,557,H,4,1
Dabob,558,H,4,1
Dabob,559,H,4,1
Dabob,560,H,4,1
Dabob,561,H,4,1
Dabob,562,H,4,1
Dabob,563,H,4,1
Dabob,564,H,4,1
Dabob,565,H,4,1
Dabob,566,H,4,1
Dabob,567,H,4,1
Dabob,568,H,4,1
Dabob,569,H,4,1
Dabob,570,H,4,1
Dabob,571,H,4,1
Dabob,572,H,4,1
Dabob,573,H,4,1
Dabob,574,H,4,1
Dabob,575,H,4,1
Dabob,576,H,4,1
Dabob,577,H,4,1
Dabob,578,H,4,1
Dabob,579,H,4,1
Dabob,580,H,4,1
Dabob,581,H,4,1
Dabob,582,H,4,1
Dabob,583,H,4,1
Dabob,584,H,4,1
Dabob,585,H,4,1
Dabob,586,H,4,1
Dabob,587,H,4,1
Dabob,588,H,4,1
Dabob,589,H,4,1
Dabob,590,H,4,1
Dabob,591,H,4,1
Dabob,592,H,4,1
Dabob,593,H,4,1
Dabob,594,H,4,0
Dabob,595,H,4,0
Dabob,596,H,4,0
Dabob,597,H,4,0
Dabob,598,H,4,0
Dabob,599,H,4,0
Dabob,600,H,4,0
Dabob,601,H,4,0
Dabob,602,H,4,0
Dabob,603,H,4,0
Dabob,604,H,4,0
Dabob,605,H,4,0
Dabob,606,H,4,0
Dabob,607,H,4,0
Dabob,608,H,4,0
Dabob,609,H,4,0
Dabob,610,H,4,0
Dabob,611,H,4,0
Dabob,612,H,4,0
Dabob,613,H,4,0
Dabob,614,H,4,0
Dabob,615,H,4,0
Dabob,616,H,4,0
Dabob,617,H,4,0
Dabob,618,H,4,0
Dabob,619,H,4,0
Dabob,620,H,4,0
Dabob,621,H,4,0
Dabob,622,H,4,0
Dabob,623,H,4,0
Dabob,624,H,4,0
Dabob,625,H,4,0
Dabob,626,H,4,0
Dabob,627,H,4,0
Dabob,628,H,4,0
Dabob,629,H,4,0
Dabob,630,H,4,0
Dabob,631,H,4,0
Dabob,632,H,4,0
Dabob,633,H,4,0
Dabob,634,H,4,0
Dabob,635,H,4,0
Dabob,636,H,4,0
Dabob,637,H,4,0
Dabob,638,H,4,0
Dabob,639,H,4,0
Dabob,640,H,4,0
Dabob,641,H,4,0
Dabob,642,H,4,0
Dabob,643,H,4,0
Dabob,644,H,4,0
Dabob,645,H,4,0
Dabob,646,H,4,0
Dabob,647,H,4,0
Dabob,648,H,4,0
Dabob,649,H,4,0
Dabob,650,H,4,0
Dabob,651,H,4,0
Dabob,652,H,4,0
Dabob,653,H,4,0
Dabob,654,H,5,1
Dabob,655,H,5,1
Dabob,656,H,5,1
Dabob,657,H,5,1
Dabob,658,H,5,1
Dabob,659,H,5,1
Dabob,660,H,5,1
Dabob,661,H,5,1
Dabob,662,H,5,1
Dabob,663,H,5,1
Dabob,664,H,5,1
Dabob,665,H,5,1
Dabob,666,H,5,1
Dabob,667,H,5,1
Dabob,668,H,5,1
Dabob,669,H,5,1
Dabob,670,H,5,1
Dabob,671,H,5,1
Dabob,672,H,5,1
Dabob,673,H,5,1
Dabob,674,H,5,1
Dabob,675,H,5,1
Dabob,676,H,5,1
Dabob,677,H,5,1
Dabob,678,H,5,1
Dabob,679,H,5,1
Dabob,680,H,5,1
Dabob,681,H,5,1
Dabob,682,H,5,1
Dabob,683,H,5,1
Dabob,684,H,5,1
Dabob,685,H,5,1
Dabob,686,H,5,1
Dabob,687,H,5,1
Dabob,688,H,5,1
Dabob,689,H,5,1
Dabob,690,H,5,1
Dabob,691,H,5,1
Dabob,692,H,5,1
Dabob,693,H,5,1
Dabob,694,H,5,1
Dabob,695,H,5,1
Dabob,696,H,5,1
Dabob,697,H,5,1
Dabob,698,H,5,1
Dabob,699,H,5,1
Dabob,700,H,5,1
Dabob,701,H,5,1
Dabob,702,H,5,1
Dabob,703,H,5,1
Dabob,704,H,5,1
Dabob,705,H,5,1
Dabob,706,H,5,1
Dabob,707,H,5,0
Dabob,708,H,5,0
Dabob,709,H,5,0
Dabob,710,H,5,0
Dabob,711,H,5,0
Dabob,712,H,5,0
Dabob,713,H,5,0
Dabob,714,H,5,0
Dabob,715,H,5,0
Dabob,716,H,5,0
Dabob,717,H,5,0
Dabob,718,H,5,0
Dabob,719,H,5,0
Dabob,720,H,5,0
Dabob,721,H,5,0
Dabob,722,H,5,0
Dabob,723,H,5,0
Dabob,724,H,5,0
Dabob,725,H,5,0
Dabob,726,H,5,0
Dabob,727,H,5,0
Dabob,728,H,5,0
Dabob,729,H,5,0
Dabob,730,H,5,0
Dabob,731,H,5,0
Dabob,732,H,5,0
Dabob,733,H,5,0
Dabob,734,H,5,0
Dabob,735,H,5,0
Dabob,736,H,5,0
Dabob,737,H,5,0
Dabob,738,H,5,0
